Country;Date;Bee_name
Germany;28-7-2022;Bombus pascuorum
Germany;28-7-2022;Lasioglossum pauxillum
Germany;17-5-2022;Andrena proxima
Germany;17-5-2022;Bombus hortorum
Germany;17-5-2022;Apis mellifera
Germany;17-5-2022;Bombus lapidarius
Germany;17-5-2022;Bombus lapidarius
Germany;17-5-2022;Apis mellifera
Germany;17-5-2022;Apis mellifera
Germany;17-5-2022;Apis mellifera
Germany;17-5-2022;Apis mellifera
Germany;23-6-2022;Andrena flavipes
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Halictus simplex
Germany;23-6-2022;Lasioglossum pauxillum
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Osmia adunca
Germany;23-6-2022;Osmia adunca
Germany;23-6-2022;Osmia adunca
Germany;23-6-2022;Osmia adunca
Germany;23-6-2022;Apis mellifera
Germany;23-6-2022;Lasioglossum pauxillum
Germany;23-6-2022;Osmia adunca
Germany;23-6-2022;Osmia adunca
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus pascuorum
Germany;22-7-2022;Lasioglossum pauxillum
Germany;22-7-2022;Apis mellifera
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus pascuorum
Germany;22-7-2022;Halictus scabiosae
Germany;22-7-2022;Lasioglossum lucidulum
Germany;22-7-2022;Apis mellifera
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus terrestris
Germany;22-7-2022;Lasioglossum morio
Germany;22-7-2022;Apis mellifera
Germany;22-7-2022;Bombus ruderarius
Germany;22-7-2022;Bombus lapidarius
Germany;22-7-2022;Bombus pascuorum
Germany;22-7-2022;Bombus pascuorum
Germany;22-7-2022;Bombus pascuorum
Germany;22-7-2022;Bombus pascuorum
Germany;22-7-2022;Halictus scabiosae
Germany;22-7-2022;Halictus scabiosae
Germany;22-7-2022;Halictus scabiosae
Germany;22-7-2022;Halictus tumulorum
Germany;22-7-2022;Halictus tumulorum
Germany;22-7-2022;Apis mellifera
Germany;22-7-2022;Bombus ruderarius
Germany;12-6-2022;Bombus lapidarius
Germany;12-6-2022;Apis mellifera
Germany;12-6-2022;Bombus lapidarius
Germany;12-6-2022;Bombus terrestris
Germany;12-6-2022;Bombus hortorum
Germany;12-6-2022;Bombus lapidarius
Germany;12-6-2022;Bombus lapidarius
Germany;12-6-2022;Bombus terrestris
Germany;12-6-2022;Bombus hortorum
Germany;12-6-2022;Bombus hortorum
Germany;12-6-2022;Bombus pascuorum
Germany;12-6-2022;Bombus spec
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Bombus lapidarius
